,Status,X.Freq.2.AnkleLeft,Y.Freq.8.HipRight,Y.Freq.8.KneeLeft,Y.Freq.4.AnkleLeft,Y.Freq.4.FootLeft,Z.Freq.8.SpineShoulder,Y.Freq.8.SpineMid,Y.Freq.6.AnkleRight,Y.Freq.10.AnkleLeft,X.Freq.3.HandLeft,Z.Freq.8.Neck,Y.Freq.4.KneeLeft,X.Freq.2.KneeRight,X.Freq.8.AnkleLeft,X.Freq.8.ElbowRight,Z.Freq.4.AnkleRight,Z.Freq.4.FootRight,X.Freq.1.ShoulderLeft,X.Freq.3.HandTipLeft,Y.Freq.8.KneeRight
101_1_HT.csv,1,0.1978079799,-0.3489643393,-0.4147816472,0.0137649989,-0.0798842906,-0.3526001555,-0.2690033344,-0.1682570239,-0.1979410992,-0.1064965155,-0.3309267294,-0.3550463909,-0.2292111996,-0.1142534681,-0.1807609823,-0.0506560688,0.0898033153,-0.1082568575,-0.1132190362,-0.5441018434
101_3_HT.csv,0,-0.3693792704,-0.3372440983,-0.4106380381,-0.15370639,-0.1700366332,-0.3394698915,-0.2254754787,-0.245464724,1.9619543957,-0.0811854261,-0.3225603798,-0.3833566567,-0.2785959499,-0.3665085217,-0.2586626882,-0.4306406472,-0.4301713937,-0.1986149927,-0.0780552631,-0.539301127
101_5_HT.csv,0,-0.0313259668,1.7960964434,3.5017883388,0.1971665429,0.7083495606,0.0949931349,2.1879908682,2.2661911044,0.7062062569,0.403588918,0.0243532593,-0.1064364696,-0.2600848223,-0.2297695398,-0.0058242804,0.6028610252,1.1619825676,0.6461644903,0.2197164901,0.8743351769
101_6_HT.csv,1,-0.104508598,-0.3385685516,-0.4301584341,0.0387570585,0.0317997889,-0.206342149,-0.2584949824,-0.24886826,-0.2095302697,-0.0140982462,-0.1915626724,-0.0151297669,-0.0812277393,-0.3048830897,0.1158711984,-0.323694823,-0.4144024822,-0.0626061091,0.0191442448,-0.4874126949
101_7_HT.csv,1,-0.3893276631,-0.1495111562,0.0278311701,-0.0627036462,-0.1676516532,-0.0380889469,-0.1610010287,-0.3221215417,-0.0907200248,-0.1607236176,-0.0151039911,0.2461057307,-0.2054884335,-0.2779193755,-0.230152913,-0.4942651717,-0.4702874907,-0.2033527014,-0.1499827218,-0.4976956013
102_4_HT.csv,0,-0.2299158589,-0.3041356063,0.2725792305,0.1035754269,0.1161191307,-0.2567821303,-0.2516273157,-0.0559835396,3.8250530441,-0.162123462,-0.2490572626,-0.2722860748,0.006256461,-0.3433109446,-0.0797971769,-0.4049054695,-0.4232972927,0.0475211327,-0.151774846,2.3112597703
103_1_HT.csv,1,0.2046167608,0.1163063237,0.1819192756,-0.0307894785,0.0058250932,0.138504221,-0.0684843688,-0.2473320027,3.7872603966,-0.1504902938,0.1443628515,0.1989682047,0.1910307196,-0.1024633944,-0.2310947017,-0.4313045602,-0.4108028761,-0.2459105358,-0.1429250201,2.75921603
104_4_HT.csv,0,-0.3361817193,-0.1934377826,1.0176800045,0.530292795,0.3095438445,0.7785848853,-0.2276648111,1.517402433,4.9887109105,-0.1518761106,0.7006474791,1.7916295013,-0.3448484171,0.3372709673,-0.2603780667,-0.2202815267,-0.3460166449,-0.2164022574,-0.1444409747,1.9625233145
105_4_HT.csv,0,-0.219055265,-0.2528600536,1.2159455921,0.4293513624,0.5252746229,0.1399270868,-0.1117555464,1.0355831704,0.2633026776,-0.1353774746,0.0371697421,-0.0897050931,-0.3375313472,2.7940663329,-0.12564827,1.0841151613,0.8086616337,-0.1470757703,-0.1357935149,3.8634076796
106_1_HT.csv,1,1.1173687447,-0.1244552693,-0.2470401574,-0.1754913952,-0.1694258265,-0.1459163455,-0.0956493882,-0.3169599198,-0.3672548797,-0.1542476539,-0.1085208126,-0.3311855255,0.9234901672,-0.2744179525,-0.2295896999,-0.4024514833,-0.390275465,-0.2454376731,-0.146666089,-0.3411415451
106_3_HT.csv,1,-0.3302035252,-0.2351576982,-0.3810474668,-0.1757256274,-0.1804984352,-0.3145575166,-0.1945093178,0.0318539391,-0.207925645,-0.156175119,-0.3009273802,-0.4813702678,-0.3535355983,-0.3515584459,-0.1868498001,-0.4222782266,-0.4162572506,-0.2210069919,-0.150977537,-0.5098519205
