survived,pclass,sex,age,sibsp,parch,fare,embarked
0,1,male,,0,0,25.925,S
1,1,male,,0,0,26.55,S
0,1,male,,0,0,39.6,C
0,1,male,,0,0,31,S
1,1,female,,0,0,27.7208,C
1,1,female,,0,1,55,S
0,1,male,,0,0,0,S
0,1,male,,0,0,52,S
0,1,male,,0,0,26.55,S
0,1,male,,0,0,221.7792,S
1,1,female,,0,0,31.6833,S
1,1,female,,0,0,110.8833,C
0,1,male,,0,0,26.55,S
1,1,female,,1,0,133.65,S
0,1,male,,0,0,0,S
1,1,female,,1,0,89.1042,C
0,1,male,,0,0,42.4,S
1,1,male,,0,0,30,S
0,1,male,,0,0,51.8625,S
0,1,male,,0,0,30.6958,C
1,1,female,,1,0,51.8625,S
0,1,male,,0,0,26.55,S
0,1,male,,0,0,27.7208,C
1,1,male,,0,0,29.7,C
1,1,female,,1,0,82.1708,C
1,1,male,,0,0,25.7417,C
0,1,male,,0,0,0,S
1,1,male,,0,0,39.6,S
0,1,male,,0,0,227.525,C
0,1,male,,0,0,50,S
1,1,male,,0,0,30.5,S
1,1,male,,0,0,26,S
0,1,male,,0,0,26,S
1,1,female,,1,0,146.5208,C
0,1,male,,0,0,27.7208,C
1,1,female,,1,0,52,S
1,1,female,,0,0,79.2,C
0,1,male,,0,0,35,S
1,1,male,,0,0,35.5,S
0,2,male,,0,0,0,S
0,2,female,,0,0,21,S
0,2,male,,0,0,0,S
0,2,male,,0,0,0,S
1,2,female,,0,0,12.35,Q
0,2,male,,0,0,0,S
0,2,male,,0,0,10.7083,Q
1,2,female,,0,0,33,S
0,2,male,,0,0,15.0458,C
0,2,male,,0,0,15.5792,C
1,2,male,,0,0,13.8625,C
0,2,male,,0,0,0,S
0,2,male,,0,0,15.05,C
0,2,male,,0,0,0,S
0,2,male,,0,0,12.875,S
1,2,male,,0,0,13,S
0,3,male,,0,0,7.2292,C
0,3,male,,0,0,7.225,C
0,3,female,,0,2,15.2458,C
0,3,female,,0,2,7.75,Q
0,3,male,,1,0,14.4583,C
0,3,female,,1,0,14.4583,C
0,3,male,,1,0,16.1,S
1,3,female,,1,0,16.1,S
0,3,male,,0,0,7.8958,S
0,3,male,,0,0,7.8958,S
0,3,male,,0,0,7.2292,C
0,3,male,,0,0,7.225,C
0,3,male,,0,0,7.225,C
1,3,male,,0,0,7.05,S
0,3,female,,0,0,7.75,Q
0,3,male,,0,0,7.75,Q
0,3,male,,0,0,6.95,Q
0,3,male,,0,0,7.75,Q
1,3,male,,0,0,56.4958,S
0,3,male,,0,0,8.05,S
0,3,male,,0,0,7.75,Q
0,3,male,,0,0,7.25,S
0,3,male,,0,0,14.5,S
0,3,male,,0,0,7.8958,C
1,3,female,,0,0,7.75,Q
0,3,male,,0,0,8.05,S
0,3,male,,1,0,19.9667,S
0,3,male,,1,0,19.9667,S
0,3,female,,0,0,7.55,S
0,3,male,,0,0,6.8583,Q
1,3,female,,0,0,7.75,Q
1,3,male,,0,0,56.4958,S
0,3,female,,0,0,7.75,Q
0,3,male,,0,0,7.75,Q
1,3,female,,0,0,8.05,S
1,3,male,,0,0,7.8875,S
0,3,male,,0,0,7.8958,S
0,3,male,,0,0,7.8958,S
0,3,male,,0,0,7.05,S
1,3,female,,0,0,7.75,Q
1,3,male,,0,0,8.1125,S
0,3,male,,1,2,23.45,S
0,3,female,,1,2,23.45,S
0,3,male,,1,2,23.45,S
0,3,female,,1,2,23.45,S
0,3,male,,0,0,7.2292,C
0,3,male,,0,0,7.75,Q
0,3,male,,0,0,7.25,S
1,3,female,,0,0,7.75,Q
1,3,female,,0,0,7.75,Q
1,3,male,,0,0,7.75,Q
0,3,male,,1,0,14.4542,C
0,3,female,,1,0,14.4542,C
0,3,male,,1,0,7.75,Q
0,3,male,,1,0,7.75,Q
0,3,male,,0,0,7.7375,Q
0,3,male,,0,0,7.8958,C
0,3,male,,0,0,7.225,C
0,3,male,,0,0,7.8958,S
1,3,male,,0,0,56.4958,S
0,3,male,,0,0,56.4958,S
0,3,male,,0,0,7.75,Q
0,3,male,,3,1,25.4667,S
0,3,female,,3,1,25.4667,S
0,3,female,,3,1,25.4667,S
0,3,female,,3,1,25.4667,S
0,3,female,,0,4,25.4667,S
0,3,female,,1,0,15.5,Q
0,3,male,,1,0,15.5,Q
0,3,male,,0,0,7.8792,Q
0,3,male,,0,0,7.55,S
0,3,male,,0,0,7.8792,S
0,3,male,,0,0,7.8958,S
0,3,male,,0,0,7.55,S
1,3,female,,0,0,7.75,Q
0,3,female,,0,0,7.8792,Q
0,3,male,,0,0,7.75,Q
0,3,male,,0,0,8.05,S
1,3,male,,0,0,7.2292,C
1,3,female,,0,0,7.7375,Q
0,3,male,,0,0,7.2292,C
1,3,female,,0,0,7.225,C
0,3,male,,0,0,7.8958,C
1,3,female,,0,0,7.75,Q
1,3,male,,0,0,7.75,Q
1,3,female,,2,0,23.25,Q
1,3,female,,2,0,23.25,Q
1,3,male,,2,0,23.25,Q
1,3,female,,0,0,7.7875,Q
0,3,male,,0,0,15.5,Q
1,3,female,,0,0,7.8792,Q
0,3,male,,0,0,7.75,Q
0,3,female,,0,0,7.75,Q
0,3,female,,0,0,8.05,S
0,3,female,,0,0,8.05,S
0,3,male,,0,0,7.75,Q
0,3,male,,0,0,8.05,S
0,3,male,,0,0,7.8958,S
1,3,female,,0,0,7.8792,Q
0,3,male,,0,0,8.05,S
1,3,female,,1,0,24.15,Q
0,3,male,,1,0,24.15,Q
0,3,male,,0,0,8.4583,Q
0,3,male,,0,0,7.75,Q
1,3,male,,0,0,7.775,S
1,3,male,,1,1,15.2458,C
1,3,male,,1,1,15.2458,C
1,3,female,,0,2,15.2458,C
1,3,female,,0,0,7.2292,C
0,3,male,,0,0,8.05,S
1,3,female,,0,0,7.7333,Q
0,3,male,,0,0,8.05,S
1,3,female,,1,0,15.5,Q
1,3,female,,1,0,15.5,Q
1,3,female,,0,0,15.5,Q
0,3,male,,0,0,7.8958,S
0,3,male,,0,0,7.2292,C
0,3,female,,0,0,7.75,Q
0,3,male,,0,0,7.8958,S
0,3,male,,1,0,15.5,Q
0,3,male,,0,0,7.8292,Q
1,3,female,,1,0,15.5,Q
0,3,male,,0,0,7.7333,Q
0,3,male,,0,0,7.75,Q
0,3,male,,0,0,7.75,Q
0,3,female,,0,0,7.75,Q
1,3,female,,0,0,7.75,Q
1,3,female,,0,0,7.8792,Q
1,3,male,,0,0,7.75,Q
1,3,female,,0,0,7.8292,Q
0,3,male,,0,0,7.3125,S
0,3,female,,0,0,7.6292,Q
0,3,male,,0,0,8.7125,C
0,3,male,,0,0,7,S
0,3,male,,0,0,7.775,S
0,3,male,,0,0,8.05,S
1,3,male,,1,1,22.3583,C
1,3,female,,1,1,22.3583,C
1,3,female,,0,2,22.3583,C
0,3,female,,0,0,8.1375,Q
0,3,male,,0,0,7.8958,S
0,3,male,,0,0,7.8958,S
0,3,male,,0,0,7.8958,S
0,3,female,,0,0,8.1125,S
0,3,male,,0,0,7.2292,C
0,3,male,,0,0,7.25,S
1,3,female,,0,0,7.7208,Q
0,3,male,,0,0,14.5,S
0,3,female,,0,0,14.5,S
0,3,male,,0,0,8.05,S
0,3,male,,0,0,7.775,S
1,3,female,,0,0,8.05,S
1,3,male,,0,0,7.75,Q
0,3,male,,0,0,24.15,Q
0,3,male,,0,0,7.2292,C
0,3,male,,0,0,7.225,C
0,3,male,,0,0,7.7292,Q
0,3,male,,0,0,7.575,S
0,3,male,,8,2,69.55,S
0,3,female,,8,2,69.55,S
0,3,female,,8,2,69.55,S
0,3,female,,8,2,69.55,S
