species,sepal_length,sepal_width,petal_length,petal_width,stem_length
setosa,4.3,6.3,4,2,12.1416914686
setosa,5.1,3.5,1.4,0.2,12.0028706455
setosa,4.9,3,1.4,0.2,12.1402926056
setosa,4.7,3.2,1.3,0.2,12.0956312884
setosa,4.6,3.1,1.5,0.2,12.1405172355
setosa,5,3.6,1.4,0.2,12.0877671676
setosa,5.4,3.9,1.7,0.4,12.1161240009
setosa,4.6,3.4,1.4,0.3,12.051242526
setosa,5,3.4,1.5,0.2,12.0295076423
setosa,4.4,2.9,1.4,0.2,12.0272185392
setosa,4.9,3.1,1.5,0.1,12.1013152193
setosa,5.4,3.7,1.5,0.2,12.0171781688
setosa,4.8,3.4,1.6,0.2,12.0867973693
setosa,4.8,3,1.4,0.1,12.052867584
setosa,4.3,3,1.1,0.1,12.038107294
setosa,5.8,4,1.2,0.2,12.1559787429
setosa,5.7,4.4,1.5,0.4,12.1524047967
setosa,5.4,3.9,1.3,0.4,12.0617372847
setosa,5.1,3.5,1.4,0.3,12.1926510228
setosa,5.7,3.8,1.7,0.3,12.1111452053
setosa,5.1,3.8,1.5,0.3,12.0528826198
setosa,5.4,3.4,1.7,0.2,12.0218311686
setosa,5.1,3.7,1.5,0.4,12.10636557
setosa,4.6,3.6,1,0.2,12.0482693378
setosa,5.1,3.3,1.7,0.5,12.0640950284
setosa,4.8,3.4,1.9,0.2,12.0874100165
setosa,5,3,1.6,0.2,12.0178542116
setosa,5,3.4,1.6,0.4,12.0240139268
setosa,5.2,3.5,1.5,0.2,12.1285088439
setosa,5.2,3.4,1.4,0.2,12.1402508725
setosa,4.7,3.2,1.6,0.2,12.1378433445
setosa,4.8,3.1,1.6,0.2,12.0649561417
setosa,5.4,3.4,1.5,0.4,12.1746878439
setosa,5.2,4.1,1.5,0.1,12.0522298123
setosa,5.5,4.2,1.4,0.2,12.1972407335
setosa,4.9,3.1,1.5,0.1,12.1204673632
setosa,5,3.2,1.2,0.2,12.0653582433
setosa,5.5,3.5,1.3,0.2,12.0088897517
setosa,4.9,3.1,1.5,0.1,12.0316546049
setosa,4.4,3,1.3,0.2,12.0099435455
setosa,5.1,3.4,1.5,0.2,12.0411636081
setosa,5,3.5,1.3,0.3,12.1675413033
setosa,4.5,2.3,1.3,0.3,12.0324854622
setosa,4.4,3.2,1.3,0.2,12.1660794985
setosa,5,3.5,1.6,0.6,12.173768553
setosa,5.1,3.8,1.9,0.4,12.1382280595
setosa,4.8,3,1.4,0.3,12.0648098981
setosa,5.1,3.8,1.6,0.2,12.1464180436
setosa,4.6,3.2,1.4,0.2,12.1485841273
setosa,5.3,3.7,1.5,0.2,12.1813832306
setosa,5,3.3,1.4,0.2,12.0855204872
versicolor,7,3.2,4.7,1.4,12.12586038
versicolor,6.4,3.2,4.5,1.5,12.1168393161
versicolor,6.9,3.1,4.9,1.5,12.0679563019
versicolor,5.5,2.3,4,1.3,12.0106202028
versicolor,6.5,2.8,4.6,1.5,12.173848127
versicolor,5.7,2.8,4.5,1.3,12.0253014191
versicolor,6.3,3.3,4.7,1.6,12.0011698694
versicolor,4.9,2.4,3.3,1,12.0002325957
versicolor,6.6,2.9,4.6,1.3,12.0748764237
versicolor,5.2,2.7,3.9,1.4,12.0151620776
versicolor,5,2,3.5,1,12.0144422351
versicolor,5.9,3,4.2,1.5,12.0855827616
versicolor,6,2.2,4,1,12.0696879604
versicolor,6.1,2.9,4.7,1.4,12.1187933112
versicolor,5.6,2.9,3.6,1.3,12.0450391504
versicolor,6.7,3.1,4.4,1.4,12.1948558264
